term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model
comorbidity,0.3271853901032705,0.046996758415373686,6.96187143827011,5.772809234921317e-5,0.2212999272602921,0.4330708529462489,9.245391682921683,Anxiety,M1
gen_health,-0.24329812715877308,0.04213437375791934,-5.774338276786281,1.898344866182697e-4,-0.3373735336128766,-0.14922272070466958,9.849983871308114,Anxiety,M1
(Intercept),0.6264455851507634,0.35852101640532585,1.7473050574043212,0.11687894123652198,-0.1933303203506035,1.4462214906521305,8.410724616846123,Anxiety,M2
countryNepal,-0.056895106290080134,0.1954811551658988,-0.29105161692847076,0.781305196404642,-0.5413246378049549,0.42753442522479457,5.702967819744843,Anxiety,M2
countryVietnam,-0.3234419364008029,0.16289620605135194,-1.9855707154949942,0.09573264408384094,-0.7249632362368054,0.07807936343519961,5.82454775294247,Anxiety,M2
age,-0.012979821450801819,0.0029036656639764382,-4.4701501318945045,0.0011498811551194537,-0.01943543649567532,-0.006524206405928318,10.164389190114983,Anxiety,M2
female,0.07387664733124609,0.07410180588697064,0.9969614970508547,0.34291072442919435,-0.09183669661869172,0.2395899912811839,9.73795539329075,Anxiety,M2
ethnicity_minority,0.10310053502400891,0.1106665617858495,0.9316322235032333,0.3834759531837493,-0.16026840010263887,0.3664694701506567,6.785771188665831,Anxiety,M2
education,0.019910383257179195,0.030366631140511254,0.6556665164815508,0.5272134007135689,-0.04799108333271189,0.08781184984707029,9.74537348351309,Anxiety,M2
employmentPart-time/casual,0.11222898354610737,0.050931295295960896,2.2035368017629757,0.052675511355811874,-0.0015781784752088163,0.22603614556742357,9.79350993769477,Anxiety,M2
employmentStudent,0.13645662619681592,0.18609998135488554,0.7332436317475947,0.48340560735912763,-0.2892915663114121,0.5622048187050439,8.384210537211654,Anxiety,M2
employmentNot working,0.015548017447576052,0.11811264080375483,0.13163720108002003,0.8983289803366963,-0.25398131527312645,0.28507735016827856,8.514607055420134,Anxiety,M2
comorbidity,0.3069919029153477,0.03773880744776977,8.134647692305123,1.7516107101913245e-5,0.2218355410094621,0.39214826482123333,9.151357043970872,Anxiety,M2
gen_health,-0.22911900644059674,0.036871532518192404,-6.213981106631505,1.119611910913928e-4,-0.3115815364780384,-0.1466564764031551,9.732052206798611,Anxiety,M2
perceived_risk,0.03880707146945619,0.009490858096110815,4.088889653229421,0.003982215693576299,0.016675157067515493,0.060938985871396886,7.519285730214414,Anxiety,M2
risk_self,0.1764774290986994,0.06833132095475052,2.582672581663744,0.026722011764658136,0.02480540279902471,0.3281494553983741,10.290012361675974,Anxiety,M2
health_trust,3.6914362142646947e-4,0.030151424566978332,0.01224299106022186,0.9904921441840608,-0.06757350376512966,0.0683117910079826,9.235875496194,Anxiety,M2
(Intercept),0.2572723051753417,0.3445275598436427,0.7467394053819668,0.47694358240763157,-0.5395649331480068,1.0541095434986902,7.866374897452235,Anxiety,M3
countryNepal,-0.2606681401138031,0.14394117709296828,-1.810935170729107,0.11837758690938807,-0.609884513135357,0.08854823290775071,6.219782519203031,Anxiety,M3
countryVietnam,-0.33302736223221474,0.09601580090465874,-3.468464139177493,0.014440998663799517,-0.5709145521241255,-0.09514017234030406,5.707941940228673,Anxiety,M3
age,-0.009103719561774299,0.002546277269457488,-3.5753056711353137,0.004846976100848341,-0.014757316221775032,-0.0034501229017735655,10.265993173881926,Anxiety,M3
female,0.04137110471555172,0.06500723207173625,0.6364077256804015,0.5393684688144248,-0.10427002172988825,0.1870122311609917,9.612219130749441,Anxiety,M3
ethnicity_minority,0.08284809293943576,0.07000295492937836,1.1834942256797027,0.27721486071855767,-0.08449007509945017,0.2501862609783217,6.645403636306247,Anxiety,M3
education,0.016829266828427565,0.027603296448834372,0.6096832260459323,0.5556992181051332,-0.044692487849618774,0.07835102150647391,9.978726805089263,Anxiety,M3
employmentPart-time/casual,-0.03281601997453402,0.07028550067027377,-0.4668960121445514,0.6510503052237889,-0.1904427243046241,0.12481068435555609,9.543716816221629,Anxiety,M3
employmentStudent,0.29116360717210193,0.17964708593713266,1.6207532989095876,0.14285686955979315,-0.12144428503161814,0.703771499375822,8.18907799452705,Anxiety,M3
employmentNot working,-0.017509307707674386,0.1056938831305508,-0.1656605584832877,0.8724395825060531,-0.2602487073874359,0.2252300919720871,8.192075079853044,Anxiety,M3
comorbidity,0.24965914356228283,0.03848992258933999,6.486350887892598,8.709071083862888e-5,0.1633318890341886,0.33598639809037706,9.538050078535495,Anxiety,M3
gen_health,-0.1709008751661981,0.045744019622999454,-3.7360266232544093,0.004528742069474223,-0.2741390287589646,-0.06766272157343158,9.140529256121505,Anxiety,M3
perceived_risk,0.022270671898176,0.005901014193327973,3.774041405180233,0.005963675526878455,0.008538574589102435,0.03600276920724957,7.604032238134724,Anxiety,M3
risk_self,0.10034342095736332,0.05242154310335692,1.9141638154283485,0.08539518626285414,-0.01687908574516339,0.21756592765989002,9.742372118475016,Anxiety,M3
health_trust,0.013331018851852427,0.028050037314544068,0.47525850687336646,0.6462015646617784,-0.05036474922308994,0.0770267869267948,8.780896452397585,Anxiety,M3
worry_health_fear,0.039293235808093685,0.03694263093820135,1.0636285183322352,0.31681664551207334,-0.04505080928328663,0.123637280899474,8.488473877088417,Anxiety,M3
worry_economic,0.024587189938490257,0.022664286927929007,1.0848428638710743,0.3098918078251432,-0.02776450206291484,0.07693888193989536,7.9236806629543235,Anxiety,M3
worry_basic_needs,0.03471934260016694,0.029021043966287227,1.1963505737594842,0.26019733106580506,-0.030286482647439168,0.09972516784777305,9.62522484126263,Anxiety,M3
worry_social,0.02836077541186505,0.019938235263216114,1.4224315761880697,0.18570250860427395,-0.016138922783271715,0.07286047360700182,9.877909091601156,Anxiety,M3
worry_safety_stigma,0.09806975799556601,0.06467006391608224,1.516462982359569,0.17102301551692814,-0.053282834509239305,0.24942235050037131,7.376424510691614,Anxiety,M3
livelihood_disruption,0.02002136304484138,0.017421822855625595,1.1492117220315083,0.2845601138319038,-0.020349981291440507,0.06039270738112327,7.78220744799884,Anxiety,M3
(Intercept),-0.6143051313106191,0.6728754535270043,-0.9129551807702634,0.38949758938669943,-2.1823069551326943,0.9536966925114561,7.547358488738602,Anxiety,M4
countryNepal,-0.23060179410544612,0.20741343260426742,-1.111797780934568,0.3083217706858329,-0.736742625792752,0.2755390375818597,6.068304799405868,Anxiety,M4
