effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,country,outcome
fixed,worry_safety_stigma,0.33425987095338194,0.09960739839713116,3.355773530202041,234.55530475589842,9.230404435034412e-4,0.1380204072991409,0.530499334607623,Indonesia,Stress
fixed,livelihood_disruption,0.020019332335312025,0.02042278314370436,0.980245062313326,226.1330317023567,0.328012716436328,-0.02022396612106239,0.060262630791686436,Indonesia,Stress
fixed,(Intercept),-0.06505674240003817,0.45457036146448765,-0.1431169911528,304.99999999562425,0.8862922895961232,-0.9595477328907855,0.8294342480907091,Nepal,Depression
fixed,age,-0.012411162357607785,0.004459784805277908,-2.7829061041061585,304.99999999528956,0.005723452736698382,-0.02118700360470653,-0.003635321110509038,Nepal,Depression
fixed,female,0.04997941437220744,0.10491311194475465,0.47638863670849546,304.99999999600067,0.6341386194993551,-0.15646570694321102,0.2564245356876259,Nepal,Depression
fixed,ethnicity_minority,0.20998371131342436,0.11628350604437668,1.8057910227895033,304.99999999494315,0.07193680227525527,-0.018835757171650036,0.43880317979849875,Nepal,Depression
fixed,education,-0.0729191689487677,0.03258185402316656,-2.238030067193851,304.9999999921428,0.025940671507691755,-0.13703284055576564,-0.008805497341769733,Nepal,Depression
fixed,employmentPart-time/casual,-0.09087976553657084,0.12451865081007957,-0.729848620631009,304.99999999633053,0.466042885309207,-0.33590412422736493,0.15414459315422324,Nepal,Depression
fixed,employmentStudent,0.7395474127125778,0.28073652464091386,2.634311348188564,304.99999999537334,0.008861113126630496,0.1871218406098092,1.2919729848153465,Nepal,Depression
fixed,employmentNot working,0.05501502287625097,0.1423263460836301,0.3865413845720769,304.9999999943852,0.6993652886629392,-0.2250508262722158,0.33508087202471776,Nepal,Depression
fixed,comorbidity,0.24035904641175862,0.06585643230752145,3.6497429027036326,304.9999999956517,3.0873180704198594e-4,0.11076857954727135,0.3699495132762459,Nepal,Depression
fixed,gen_health,-0.08562972398721269,0.07329521224794541,-1.1682853676382257,304.9999999929436,0.24360405494373902,-0.2298580163701036,0.05859856839567823,Nepal,Depression
fixed,perceived_risk,0.027638315022246146,0.01013044030454876,2.7282442017684083,304.9999999954281,0.0067364793384814235,0.007703914651466255,0.04757271539302604,Nepal,Depression
fixed,risk_self,0.07390833024294875,0.08319209475005702,0.8884056888457913,304.9999999947927,0.3750226551003183,-0.08979477392389186,0.23761143440978938,Nepal,Depression
fixed,health_trust,-0.003977006916735478,0.03148725717764782,-0.12630528261949336,304.9999999962504,0.8995734953597128,-0.06593676111173306,0.05798274727826211,Nepal,Depression
fixed,worry_health_fear,-0.04638072677872289,0.022181221843171513,-2.090990618400095,304.9999999962814,0.037356223541716416,-0.09002832191200863,-0.002733131645437141,Nepal,Depression
fixed,worry_economic,0.07440996094928747,0.01847103294626012,4.028467772526682,304.99999999261837,7.093488295851485e-5,0.038063172957526044,0.1107567489410489,Nepal,Depression
fixed,worry_basic_needs,0.06494480143635453,0.03394846585887143,1.9130408339021636,304.99999999578216,0.056679021135315276,-0.0018580511603506489,0.1317476540330597,Nepal,Depression
fixed,worry_social,-0.003723595109896579,0.021646799961418016,-0.17201596155243712,304.9999999957225,0.8635390594306883,-0.04631956963859785,0.03887237941880469,Nepal,Depression
fixed,worry_safety_stigma,0.13864312061878006,0.044875869731440525,3.089480414496461,304.9999999953921,0.002189798291878711,0.05033762477455521,0.2269486164630049,Nepal,Depression
fixed,livelihood_disruption,0.019883998370986124,0.02164659626740029,0.9185739007352101,304.99999999506133,0.3590443333856438,-0.02271157533425864,0.06247957207623089,Nepal,Depression
fixed,(Intercept),0.06053802125241497,0.4510833927158874,0.13420583029653796,245.73184643838258,0.893349667374291,-0.827945060091407,0.9490211025962368,Nepal,Anxiety
fixed,age,-0.009693225709379064,0.004383229715944828,-2.211434567099716,289.93936642053353,0.02778573736990088,-0.018320209111343206,-0.0010662423074149219,Nepal,Anxiety
fixed,female,-0.04554598135744903,0.10441278354320073,-0.4362107762274569,264.5848483537627,0.6630395236911906,-0.25113166722113767,0.16003970450623958,Nepal,Anxiety
fixed,ethnicity_minority,0.053706448020679004,0.11793189504666177,0.4554022302399968,221.9048207892243,0.6492651674246944,-0.17870335605034238,0.2861162520917004,Nepal,Anxiety
fixed,education,-0.06471465180491168,0.032314142806423016,-2.002672705650372,280.48850034005244,0.046174699172211474,-0.12832367238984582,-0.0011056312199775181,Nepal,Anxiety
fixed,employmentPart-time/casual,-0.12111187937472694,0.12099955031681298,-1.0009283427716869,298.9004143192885,0.3176710617746038,-0.35923080679501324,0.11700704804555935,Nepal,Anxiety
fixed,employmentStudent,0.9066109550976638,0.27037350532887877,3.353179720752868,304.9889507081462,8.996499832471282e-4,0.3745773691231574,1.4386445410721702,Nepal,Anxiety
fixed,employmentNot working,0.10913867489576448,0.1386237624920013,0.7873013467085909,299.92903942531325,0.4317271760809702,-0.16365970615717587,0.38193705594870486,Nepal,Anxiety
fixed,comorbidity,0.23486691040664906,0.06327502405942272,3.711842293194252,304.78644637468784,2.445581073694618e-4,0.11035571979285116,0.359378101020447,Nepal,Anxiety
fixed,gen_health,-0.12030539356242538,0.07082248094196791,-1.6986893421737634,304.28282655174576,0.09039990048963739,-0.25966922214973875,0.019058435024888007,Nepal,Anxiety
fixed,perceived_risk,0.03573797471272043,0.009881922387298098,3.616500242772283,298.95853385148837,3.503932897325428e-4,0.01629103549770496,0.055184913927735904,Nepal,Anxiety
fixed,risk_self,0.10690989739714087,0.08000442209616057,1.336299851883706,304.9999814414957,0.18244736168829848,-0.05052059268413485,0.2643403874784166,Nepal,Anxiety
fixed,health_trust,0.02190565220848997,0.03053312263379136,0.7174389750836271,303.283594592398,0.4736554842879426,-0.038177936994187575,0.08198924141116751,Nepal,Anxiety
fixed,worry_health_fear,0.06512694184960757,0.02222654038383877,2.930143005834695,251.98872957025233,0.0036988852605836084,0.021353486665852947,0.1089003970333622,Nepal,Anxiety
fixed,worry_economic,0.0400847288487707,0.01767224588685637,2.2682305975939077,303.4596007561631,0.024017664843648295,0.005309068735776808,0.07486038896176458,Nepal,Anxiety
