term,outcome,estimate,se,t_value,df,p_value,riv,fmi
ethnicity_minority1,z_stress,0.045347785735841174,0.06531326762359609,0.6943120040660488,436.74612522635573,0.48785571768768765,0.3471319684384227,0.26105834870725136
education,z_stress,0.00816517883950699,0.019133106513102037,0.42675656636916803,30510.16658965463,0.6695596560582995,0.03181096533489087,0.03089375077499253
employmentPart-time/casual,z_stress,-0.015556520251527524,0.060270750340257556,-0.2581106119254105,3785.5613052463464,0.7963355727297081,0.09592085677246906,0.08800705001289313
employmentStudent,z_stress,0.13841956270201428,0.12493750338459736,1.107910426830884,5535.242405475398,0.26794864112225225,0.07802998382014006,0.07271700267708077
employmentNot working,z_stress,-0.05852417401975079,0.06658083367322895,-0.878994310990167,4044.1847348294987,0.37945658256218895,0.0925147117532004,0.08513284207945915
comorbidity,z_stress,0.24051156833082224,0.03555668954770886,6.764172125982406,437933.837045835,1.3423928635347693e-11,0.008204333534023441,0.008142099899404478
gen_health,z_stress,-0.12414151107181763,0.03319021698458848,-3.7403042929626342,350034.4781621775,1.8382689260532104e-4,0.009185751599425324,0.009107803254999896
perceived_risk,z_stress,0.013996021628643846,0.0038949328480071548,3.593392280384223,98265.55178241085,3.265600436022087e-4,0.01747929576597161,0.01719902137557582
risk_self,z_stress,0.0837369124198154,0.03806860465389819,2.1996317748210616,159353.74713199397,0.027834461500841012,0.01367465718730171,0.013502564700852258
health_trust,z_stress,-0.03593159482368464,0.014596318744266529,-2.4616888308087037,16827.959960504224,0.013838413369931857,0.04331087921026467,0.04162681393513963
worry_health_fear,z_stress,0.02970124328582669,0.012180424443734331,2.4384407475311876,6796.621388775238,0.014776210540754953,0.06988596224941335,0.0655958660544997
worry_economic,z_stress,0.03438943499167765,0.01053229657146835,3.2651411549535663,1152.0000502198302,0.0011262889555825328,0.18858285757268253,0.16011879863188735
worry_basic_needs,z_stress,0.045141678398323754,0.019888035070334438,2.269790768101489,6021.864450555668,0.023255478452310907,0.07457075276006954,0.06970477303935248
worry_social,z_stress,0.0676524897094607,0.011788708733354924,5.738753178119078,6967.183553003433,9.9380221829648e-9,0.06896586878798455,0.06478486105082432
worry_safety_stigma,z_stress,0.022287359390164373,0.027262626045192948,0.8175059641436914,10277.48533593366,0.413658293259076,0.056099692699697064,0.05330390344140714
livelihood_disruption,z_stress,0.003894289939534199,0.009114084779532669,0.4272826107871559,164360.87878236707,0.6691740566309701,0.013461926325734563,0.013295116569628418
