effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,female,0.04115175127839162,0.06622071793683329,0.6214331792301846,865.8994070023416,0.5344782086400313,-0.08882014280064182,0.17112364535742508,M3,Depression
fixed,ethnicity_minority,0.13755993426841587,0.07541242583192705,1.8241017014224954,816.8517511362295,0.06850191559833947,-0.01046503373453811,0.28558490227136984,M3,Depression
fixed,education,-0.016636876202808668,0.024794322323361616,-0.6709953991012342,848.4687056654957,0.5024060773182164,-0.06530227583610546,0.03202852343048812,M3,Depression
fixed,employmentPart-time/casual,-0.020408428733479214,0.07576807479729097,-0.2693539302414597,870.8807127132782,0.7877211379677228,-0.16911780033176144,0.12830094286480304,M3,Depression
fixed,employmentStudent,0.417353658812863,0.15620868806188912,2.671769822735529,868.9803174780865,0.007686461426876148,0.11076323003394645,0.7239440875917795,M3,Depression
fixed,employmentNot working,0.03964819128273592,0.08405927350562868,0.4716694497732132,870.8510698211066,0.6372808949989686,-0.1253342550264311,0.20463063759190295,M3,Depression
fixed,comorbidity,0.257194546775268,0.04736635786742274,5.429899159550099,868.7792873562021,7.320833939585978e-8,0.1642286763413819,0.35016041720915403,M3,Depression
fixed,gen_health,-0.12872485551636575,0.04261791447095149,-3.020440045326597,867.0289018686329,0.0025981330832819944,-0.21237119971109175,-0.04507851132163976,M3,Depression
fixed,perceived_risk,0.0203687688074996,0.005365729364900204,3.796085755040393,870.6569037304212,1.5718534470657986e-4,0.009837492546212823,0.03090004506878638,M3,Depression
fixed,risk_self,0.03168218678399693,0.05140108024564926,0.6163720029342886,870.8811326330248,0.5378101034927834,-0.0692022867640544,0.13256666033204825,M3,Depression
fixed,health_trust,-0.00879827121538995,0.019123470706712366,-0.4600771141559437,870.1897355463774,0.6455758029909906,-0.04633178994118178,0.028735247510401872,M3,Depression
fixed,worry_health_fear,-0.04753526012055781,0.01702145406498066,-2.7926674148453143,868.1274604997935,0.005342481427397645,-0.08094327420424619,-0.014127246036869434,M3,Depression
fixed,worry_economic,0.04205215233516252,0.012920460463175704,3.254694556359996,869.1497250388873,0.0011790085761127621,0.0166932015258322,0.06741110314449283,M3,Depression
fixed,worry_basic_needs,0.06496795613081371,0.02649216420643301,2.4523461210857866,856.9768602410427,0.014391248721603902,0.01297083125627329,0.11696508100535413,M3,Depression
fixed,worry_social,0.04191826727078853,0.01537154575214996,2.727004033730673,867.8171064420695,0.006520187654144139,0.011748513769487753,0.07208802077208931,M3,Depression
fixed,worry_safety_stigma,0.14908724615370844,0.03586702989393185,4.156665511323304,867.8577893570308,3.5494240926112505e-5,0.07869098299791823,0.21948350930949867,M3,Depression
fixed,livelihood_disruption,0.022117835707910503,0.012163582783043022,1.8183652055827237,866.484517992096,0.06935347055713191,-0.0017556958409008505,0.04599136725672186,M3,Depression
fixed,(Intercept),-0.6297999289929671,0.48251898211572475,-1.3052334775130552,207.39167703842864,0.19325958314537076,-1.5810709019195448,0.3214710439336105,M4,Depression
fixed,countryNepal,-0.3517332840822048,0.25084757186328693,-1.4021793452874283,9.600814721532029,0.19235680337534877,-0.9138225980206856,0.21035602985627605,M4,Depression
fixed,countryVietnam,-0.0064184384086084815,0.2613860602593305,-0.024555396727126606,9.063841667957902,0.980941717714024,-0.5970805276686817,0.5842436508514648,M4,Depression
fixed,age,-0.010779390649691295,0.0036271865395447814,-2.9718324470414825,519.052903649527,0.003097595997903186,-0.01790516133483267,-0.0036536199645499203,M4,Depression
fixed,female,0.14581879639577908,0.08343504950366037,1.7476923338959829,519.2344160754527,0.08110842364724734,-0.01809296762380372,0.30973056041536184,M4,Depression
fixed,ethnicity_minority,0.12641764792705693,0.097066784080939,1.3023780392440296,503.7321559809328,0.19338232536908764,-0.06428795996716588,0.31712325582127976,M4,Depression
fixed,education,-0.012457150084368833,0.03423724613708505,-0.3638478992875398,502.33247885330803,0.7161246780442723,-0.07972298890167187,0.05480868873293421,M4,Depression
fixed,employmentPart-time/casual,0.05450957895784401,0.09935711368623878,0.548622810541584,519.6943010115592,0.5834999336343143,-0.14068136536776127,0.24970052328344927,M4,Depression
fixed,employmentStudent,0.015373284334135573,0.2118249137447809,0.07257543063446356,519.4397861759034,0.9421719148464136,-0.4007655375431128,0.43151210621138397,M4,Depression
fixed,employmentNot working,0.045137129232793366,0.11030577572629502,0.40920005263181736,517.9998789775301,0.6825619939895835,-0.17156454544675603,0.26183880391234277,M4,Depression
fixed,comorbidity,0.3104081314325871,0.05676350440929578,5.468445520811672,519.0892818657925,7.066557172531029e-8,0.19889369867697315,0.42192256418820107,M4,Depression
fixed,gen_health,0.014352405672401324,0.05526699921822289,0.2596921467679212,512.1257426810203,0.795205614570685,-0.09422552619723139,0.12293033754203404,M4,Depression
fixed,perceived_risk,0.020384145567746332,0.007130394132716016,2.858768419857581,519.8436470328462,0.004423606847228252,0.0063762161985795734,0.03439207493691309,M4,Depression
