term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,sensitivity,effect
perceived_risk,1.062015124678533,0.021052791504478186,3.0352032230954924,0.0024037366002672227,1.0215437248510046,1.104089915691533,NA,Depression,Binary multilevel (OR),fixed
risk_self,0.9910065035576551,0.20086425974431765,-0.044572056669936806,0.9644484160631497,0.666114535147962,1.4743618976508581,NA,Depression,Binary multilevel (OR),fixed
health_trust,0.9898511420120275,0.0722607906549188,-0.1397325316652089,0.8888713220049136,0.8578883113981951,1.1421128721821823,NA,Depression,Binary multilevel (OR),fixed
worry_health_fear,0.9099112867740072,0.05268155761429263,-1.6306097333872085,0.10297269406003595,0.8123003491757639,1.0192517467693245,NA,Depression,Binary multilevel (OR),fixed
worry_economic,1.0814541538249052,0.04355271940383568,1.9444243925268707,0.05184429473393219,0.9993743796176194,1.1702752348650685,NA,Depression,Binary multilevel (OR),fixed
worry_basic_needs,1.2605046562128404,0.11627584593784226,2.5097401380998576,0.012082003565924971,1.0520223510436666,1.5103025014230909,NA,Depression,Binary multilevel (OR),fixed
worry_social,1.0632523785489836,0.05576046115884465,1.1695010561845236,0.2422018159571604,0.9593930032529968,1.1783550814492971,NA,Depression,Binary multilevel (OR),fixed
worry_safety_stigma,1.135489322759737,0.12759292598258207,1.1307793920379732,0.2581479558066626,0.9110349614629931,1.4152431647967436,NA,Depression,Binary multilevel (OR),fixed
livelihood_disruption,1.0528470378347954,0.04548168575804434,1.1921166308959052,0.23321551678761357,0.9673740407407209,1.145872060230944,NA,Depression,Binary multilevel (OR),fixed
(Intercept),0.37267801091003994,0.35539440108462694,-1.035042418490152,0.30064910175796555,0.0574921064218503,2.415790766070768,NA,Anxiety,Binary multilevel (OR),fixed
countryNepal,0.439304747809495,0.15133771111575292,-2.3877416562593976,0.016952253661882417,0.2236311727121121,0.8629774601969502,NA,Anxiety,Binary multilevel (OR),fixed
countryVietnam,0.3317836683726729,0.11212267358444206,-3.264706956449326,0.0010957737958005474,0.171080583564153,0.6434418231777254,NA,Anxiety,Binary multilevel (OR),fixed
age,0.9619623590027485,0.010116971353524368,-3.687354402247526,2.265976676202011e-4,0.9423364287623723,0.9819970361895903,NA,Anxiety,Binary multilevel (OR),fixed
female,1.0136357477341291,0.22056536032273802,0.06224139104366031,0.9503706010823689,0.6617012513415581,1.552751225725236,NA,Anxiety,Binary multilevel (OR),fixed
ethnicity_minority,1.4779527979179659,0.36002593328725874,1.603700904877373,0.1087799963565037,0.916874317671162,2.3823815661253596,NA,Anxiety,Binary multilevel (OR),fixed
education,1.1166775017147623,0.09169235933946135,1.3439945136849851,0.1789501610168919,0.9506794497723833,1.3116604583537372,NA,Anxiety,Binary multilevel (OR),fixed
employmentPart-time/casual,0.8683824620944286,0.2235645797908204,-0.5481582561071774,0.5835832423791466,0.5242877155732861,1.4383096877420036,NA,Anxiety,Binary multilevel (OR),fixed
employmentStudent,1.182349328034424,0.5675000874323894,0.348982413726514,0.7271025123797344,0.46151830491639617,3.029023808181762,NA,Anxiety,Binary multilevel (OR),fixed
employmentNot working,1.1480540399717725,0.3247438326511812,0.4881076527391913,0.6254735907945044,0.6594586324488537,1.998651642182775,NA,Anxiety,Binary multilevel (OR),fixed
comorbidity,2.0702100674177863,0.3026538444897027,4.97726546952521,6.448884767337623e-7,1.5544373355703276,2.757119650413887,NA,Anxiety,Binary multilevel (OR),fixed
gen_health,0.6125043415350743,0.08680708802473663,-3.458809351570198,5.425688054641824e-4,0.4639516861795466,0.8086220603886966,NA,Anxiety,Binary multilevel (OR),fixed
perceived_risk,1.0642394114191434,0.01829363849071914,3.6220211908682356,2.9231016945365293e-4,1.0289817989151575,1.100705110636414,NA,Anxiety,Binary multilevel (OR),fixed
risk_self,1.6959553724682699,0.31122458774473644,2.878570833451717,0.0039948155783712455,1.183615152975664,2.430067423666319,NA,Anxiety,Binary multilevel (OR),fixed
health_trust,1.0843048265685804,0.07366010406237458,1.1914539639042594,0.23347541892005222,0.9491321782679488,1.2387283708634345,NA,Anxiety,Binary multilevel (OR),fixed
worry_health_fear,1.0732403690289352,0.05300760902882786,1.4311013997311557,0.15240115619816005,0.9742175385598004,1.1823282214936854,NA,Anxiety,Binary multilevel (OR),fixed
worry_economic,1.0692132879023457,0.03993298597354072,1.791879606083797,0.07315225343911698,0.9937420464286281,1.1504163068630422,NA,Anxiety,Binary multilevel (OR),fixed
worry_basic_needs,1.142156114925754,0.09099095151555786,1.6684393470964984,0.09522854285717272,0.977043027889053,1.3351720995141534,NA,Anxiety,Binary multilevel (OR),fixed
worry_social,1.001558747369529,0.046894215269191755,0.03326554408755261,0.9734628303789077,0.9137389178427153,1.0978189774391225,NA,Anxiety,Binary multilevel (OR),fixed
worry_safety_stigma,1.100173266628902,0.10777282661070597,0.9745591299367535,0.32977899502322733,0.9079825412530802,1.3330445923932601,NA,Anxiety,Binary multilevel (OR),fixed
livelihood_disruption,1.0577329323478912,0.04160272268308779,1.4270292337024535,0.15357146843163197,0.9792567876301201,1.1424980355569978,NA,Anxiety,Binary multilevel (OR),fixed
(Intercept),0.1042286118690664,0.17178514499472847,-1.3719373961030523,0.17008292753261942,0.004121667342799694,2.6357303073307334,NA,Stress,Binary multilevel (OR),fixed
countryNepal,0.38616793654628506,0.38429704314550256,-0.9561150895133804,0.33901409204946353,0.054915955050542024,2.715525480330216,NA,Stress,Binary multilevel (OR),fixed
countryVietnam,1.0970699010502156,1.148470101010122,0.08849663256218325,0.9294819606659314,0.14097822690670414,8.53722162775403,NA,Stress,Binary multilevel (OR),fixed
age,0.9799216370305539,0.01574298274094126,-1.2624945469621223,0.2067708872517668,0.949546689239267,1.0112682457878357,NA,Stress,Binary multilevel (OR),fixed
female,1.7455803428509558,0.5949186681386719,1.634576791024965,0.10213779627085061,0.8950312951246991,3.404406918445386,NA,Stress,Binary multilevel (OR),fixed
ethnicity_minority,1.077617367411765,0.4179402151264471,0.1927418065684528,0.8471611803799115,0.5038913114423234,2.3045826831653633,NA,Stress,Binary multilevel (OR),fixed
education,0.9364067166340541,0.11230094948064806,-0.5478756021284532,0.5837773224532965,0.7402561379323219,1.1845326151656124,NA,Stress,Binary multilevel (OR),fixed
employmentPart-time/casual,0.2596021312147105,0.10768237942779389,-3.25123530872294,0.0011490471340528184,0.11514147012028998,0.585308372915623,NA,Stress,Binary multilevel (OR),fixed
employmentStudent,2.7112895833181776,1.578232594309603,1.7135030341764173,0.08662003563756751,0.866351906398293,8.48510997704217,NA,Stress,Binary multilevel (OR),fixed
employmentNot working,0.3468223446794644,0.1661400350098341,-2.21057469482996,0.02706530271230952,0.13562874887214124,0.8868749418484716,NA,Stress,Binary multilevel (OR),fixed
comorbidity,2.28720187656008,0.4329015107176055,4.371130180583726,1.2360506610922652e-5,1.578325365736389,3.3144575495681927,NA,Stress,Binary multilevel (OR),fixed
gen_health,0.7927891010271251,0.16799254054827367,-1.0957872151284356,0.27317190471111064,0.5233442957601057,1.200958076354959,NA,Stress,Binary multilevel (OR),fixed
perceived_risk,1.093006489599117,0.02950212914529787,3.2947931616930326,9.849414778356279e-4,1.0366862627376876,1.1523864347839534,NA,Stress,Binary multilevel (OR),fixed
risk_self,1.281626280132118,0.350803639635163,0.9065176077934786,0.3646619494659,0.7495016279240676,2.1915441684560286,NA,Stress,Binary multilevel (OR),fixed
health_trust,0.8335199482646476,0.0832532347856169,-1.8231365922590568,0.06828270566203994,0.685325195745815,1.0137603410290836,NA,Stress,Binary multilevel (OR),fixed
worry_health_fear,1.054278502674865,0.0689399899583145,0.8083208173355487,0.4189059216547346,0.9274589615911721,1.198439184085765,NA,Stress,Binary multilevel (OR),fixed
worry_economic,1.104918709913769,0.05834226648022614,1.8895339221511578,0.05882032180950108,0.9962880360494565,1.2253939737733675,NA,Stress,Binary multilevel (OR),fixed
worry_basic_needs,1.1443385897265717,0.13855900872288876,1.1135149823290635,0.26548731732176334,0.9025872760496241,1.4508412013836125,NA,Stress,Binary multilevel (OR),fixed
worry_social,1.0842897787443881,0.0713232665696654,1.230262739079063,0.2185987326261257,0.9531348708756432,1.2334920903790405,NA,Stress,Binary multilevel (OR),fixed
worry_safety_stigma,0.9325532690000852,0.13184895883847325,-0.4938929110747983,0.6213818112726454,0.7068489159803022,1.2303274148997634,NA,Stress,Binary multilevel (OR),fixed
livelihood_disruption,1.0661525624718184,0.061724296298903324,1.1064351236245071,0.26853822996572446,0.9517864676720436,1.1942608190736435,NA,Stress,Binary multilevel (OR),fixed
(Intercept),0.43187583200051616,0.32779811414560955,1.3175055418673787,0.19002898606200017,-0.21674549259700182,1.0804971565980341,127.65451117892488,Depression,Multilevel (lme4),fixed
countryNepal,-0.36025168194558604,0.20784134543609328,-1.733301337083365,0.11206855414408465,-0.8199874358600447,0.0994840719688726,10.570136736118082,Depression,Multilevel (lme4),fixed
countryVietnam,0.046298912223340205,0.22210537360530358,0.2084547144078402,0.8389848872307506,-0.44738617992910445,0.5399840043757849,10.182014711436524,Depression,Multilevel (lme4),fixed
age,-0.012145784843631349,0.002805798522721113,-4.328815752548103,1.6732595131008126e-05,-0.01765270696397034,-0.006638862723292356,870.3531582470938,Depression,Multilevel (lme4),fixed
female,0.04115175127839162,0.06622071793683329,0.6214331792301846,0.5344782086400313,-0.08882014280064182,0.17112364535742508,865.8994070023416,Depression,Multilevel (lme4),fixed
